time,level
0,366.6736652063783
1,410.6415080793303
2,338.41851552776427
3,382.07556666624123
4,364.2197539749575
5,307.62221436993906
6,347.24906188527996
7,343.17066085866395
8,354.4508691076589
9,347.9283378576078
10,373.6365796532374
11,329.26766869488057
12,358.6688477515926
13,343.6986739280442
14,360.1833911362366
15,356.15600299617626
16,348.41343325077435
17,335.4391876200272
18,397.4002134539868
19,369.1269065854576
20,382.3360796981697
21,355.2372890793403
22,375.60234477444504
23,326.13757339953975
24,364.42943956804345
25,336.5355967749558
26,369.0809398818584
27,348.1878530115527
28,350.7038334754165
29,352.62570015933085
30,354.8645579680478
31,332.5576501821683
32,369.7021658869495
33,328.8910138379457
34,362.26086782684735
35,352.2184415641573
36,349.85825112186103
37,326.9082290637941
38,354.4214104122753
39,341.3512197835014
40,336.6130929769823
41,360.3391117300572
42,364.71183002665776
43,389.71903591358586
44,350.62709389371247
45,357.73253775096737
46,357.83306471251296
47,328.87463496848557
48,339.7866612404097
49,351.5197016191843
50,361.8004400833255
51,344.7817954818463
52,355.6098872760099
53,395.3791787295754
54,330.56865381233484
55,340.35129806047655
56,381.9708464107161
57,395.9336557096389
58,243.13801614965854
59,323.88535257256507
60,286.0014993613951
61,371.7690301797446
62,231.06170447115346
63,306.88868692151306
64,293.14648870035046
65,301.1689870486056
66,376.339855829793
67,240.72068620556433
68,301.86378604579204
69,361.1996241378633
70,383.8399416540966
71,375.4074855963296
72,324.0898603030977
73,345.2107147301657
74,304.6190507874849
75,216.61421154645976
76,293.0348593315717
77,304.79098196572954
78,274.4470092960041
79,368.31772500819864
80,323.3018931871734
81,313.4005085234419
82,417.57837351192666
83,315.4784424873447
84,308.7197425453475
85,318.7965746470722
86,306.1289611429202
87,273.22811903624483
88,366.65550165314863
89,243.69165205941374
90,309.92111107922517
91,214.1186159625314
92,234.1431065984259
93,267.23138146306746
94,288.91401354346766
95,324.6706524378015
96,370.90079186203195
97,285.1008247953423
98,262.1006161257443
99,300.8262094853832
100,287.61303205101024
101,260.64114694988336
102,353.0239578584126
103,329.3501851766636
104,218.4029135250812
105,257.19219525091415
106,349.78186771591277
107,224.1996544433164
108,357.1756749961511
109,260.7441278079006
110,302.47312738955884
111,283.2649012723929
112,276.07444360290503
113,267.04871579337316
114,363.7164945014944
115,355.09569349706703
116,342.75701550830104
117,358.7987619079642
118,338.2335338353999
119,367.0107165996146
120,317.7004156492228
121,386.10951078332744
122,363.1665769807089
123,356.4514764888496
124,349.9548644481853
125,335.97688631108247
126,372.7735865551497
127,324.718366419495
128,329.65178274581973
129,348.2522456111055
130,308.65778899500856
131,340.8930064416155
132,340.3880178482991
133,361.8020836405906
134,353.1918831113202
135,388.0242988451354
136,294.10059729841396
137,314.2779973051469
138,364.4363848815283
139,378.684933011228
140,318.76973493451175
141,362.00775281707575
142,360.2797288368027
143,345.56718511906183
144,353.5851813003498
145,328.36837578981954
146,378.5406121084286
147,422.17706650833816
148,353.8752209540271
